# i, x, y, z, vx, vy, vz
14099, 24, 13, 22, -2.03, 9.76, -0.45
14100, 0, 14, 22, -1.77, -9.73, -0.59
14101, 1, 14, 22, -1.78, -10.09, -1.03
14102, 2, 14, 22, -1.86, -10.53, -1.22
14103, 3, 14, 22, -2.16, -11.34, -0.21
14104, 4, 14, 22, -2.76, -12.48, 1.89
14105, 5, 14, 22, -3.62, -13.72, 4.3
14106, 6, 14, 22, -4.71, -14.74, 6.64
14107, 7, 14, 22, -5.97, -15.2, 8.88
14108, 8, 14, 22, -7.33, -14.72, 11.07
14109, 9, 14, 22, -8.67, -12.93, 13.06
14110, 10, 14, 22, -9.85, -9.71, 14.56
14111, 11, 14, 22, -10.69, -5.21, 15.4
14112, 12, 14, 22, -10.96, 0.15, 15.65
14113, 13, 14, 22, -10.59, 5.46, 15.4
14114, 14, 14, 22, -9.76, 9.79, 14.61
14115, 15, 14, 22, -8.7, 12.8, 13.22
14116, 16, 14, 22, -7.58, 14.46, 11.27
14117, 17, 14, 22, -6.52, 14.88, 9.03
14118, 18, 14, 22, -5.59, 14.41, 6.71
14119, 19, 14, 22, -4.84, 13.41, 4.32
14120, 20, 14, 22, -4.25, 12.19, 1.87
14121, 21, 14, 22, -3.79, 11.04, -0.24
14122, 22, 14, 22, -3.48, 10.25, -1.14
14123, 23, 14, 22, -3.31, 9.9, -0.72
14124, 24, 14, 22, -3.26, 9.75, -0.39
14125, 0, 15, 22, -3.04, -9.69, -0.55
14126, 1, 15, 22, -3.04, -10.03, -0.95
14127, 2, 15, 22, -3.13, -10.36, -1.26
14128, 3, 15, 22, -3.47, -10.94, -0.69
14129, 4, 15, 22, -4.18, -11.84, 1.09
14130, 5, 15, 22, -5.23, -12.85, 3.36
14131, 6, 15, 22, -6.58, -13.65, 5.62
14132, 7, 15, 22, -8.16, -13.94, 7.73
14133, 8, 15, 22, -9.87, -13.39, 9.73
14134, 9, 15, 22, -11.55, -11.68, 11.59
14135, 10, 15, 22, -12.98, -8.7, 13.1
14136, 11, 15, 22, -13.96, -4.63, 14.03
14137, 12, 15, 22, -14.29, 0.07, 14.35
14138, 13, 15, 22, -13.91, 4.71, 14.08
14139, 14, 15, 22, -12.95, 8.59, 13.23
14140, 15, 15, 22, -11.64, 11.36, 11.82
14141, 16, 15, 22, -10.19, 12.93, 9.97
14142, 17, 15, 22, -8.79, 13.42, 7.89
14143, 18, 15, 22, -7.54, 13.13, 5.69
14144, 19, 15, 22, -6.5, 12.36, 3.37
14145, 20, 15, 22, -5.67, 11.38, 1.05
14146, 21, 15, 22, -5.05, 10.49, -0.7
14147, 22, 15, 22, -4.67, 9.96, -1.07
14148, 23, 15, 22, -4.51, 9.79, -0.56
14149, 24, 15, 22, -4.48, 9.74, -0.33
14150, 0, 16, 22, -4.26, -9.66, -0.46
14151, 1, 16, 22, -4.26, -9.97, -0.79
14152, 2, 16, 22, -4.33, -10.19, -1.18
14153, 3, 16, 22, -4.63, -10.51, -1.11
14154, 4, 16, 22, -5.32, -11.09, 0.13
14155, 5, 16, 22, -6.41, -11.81, 2.14
14156, 6, 16, 22, -7.84, -12.36, 4.29
14157, 7, 16, 22, -9.52, -12.47, 6.28
14158, 8, 16, 22, -11.35, -11.84, 8.07
14159, 9, 16, 22, -13.14, -10.26, 9.71
14160, 10, 16, 22, -14.66, -7.63, 11.08
14161, 11, 16, 22, -15.68, -4.11, 12
14162, 12, 16, 22, -16.03, -0.11, 12.34
14163, 13, 16, 22, -15.67, 3.83, 12.09
14164, 14, 16, 22, -14.7, 7.19, 11.27
14165, 15, 16, 22, -13.33, 9.65, 9.96
14166, 16, 16, 22, -11.79, 11.13, 8.3
14167, 17, 16, 22, -10.26, 11.72, 6.4
14168, 18, 16, 22, -8.88, 11.63, 4.31
14169, 19, 16, 22, -7.7, 11.12, 2.09
14170, 20, 16, 22, -6.77, 10.45, 0.07
14171, 21, 16, 22, -6.12, 9.91, -1.07
14172, 22, 16, 22, -5.78, 9.7, -0.87
14173, 23, 16, 22, -5.66, 9.7, -0.42
14174, 24, 16, 22, -5.65, 9.73, -0.27
14175, 0, 17, 22, -5.43, -9.62, -0.36
14176, 1, 17, 22, -5.42, -9.92, -0.59
14177, 2, 17, 22, -5.46, -10.06, -0.95
14178, 3, 17, 22, -5.67, -10.14, -1.24
14179, 4, 17, 22, -6.22, -10.38, -0.75
14180, 5, 17, 22, -7.2, -10.75, 0.76
14181, 6, 17, 22, -8.54, -11.04, 2.7
14182, 7, 17, 22, -10.14, -10.97, 4.58
14183, 8, 17, 22, -11.87, -10.29, 6.22
14184, 9, 17, 22, -13.57, -8.86, 7.63
14185, 10, 17, 22, -15.01, -6.6, 8.78
14186, 11, 17, 22, -15.99, -3.66, 9.58
14187, 12, 17, 22, -16.35, -0.35, 9.9
14188, 13, 17, 22, -16.05, 2.92, 9.69
14189, 14, 17, 22, -15.17, 5.76, 8.98
14190, 15, 17, 22, -13.91, 7.91, 7.84
14191, 16, 17, 22, -12.45, 9.29, 6.36
14192, 17, 17, 22, -10.98, 9.97, 4.6
14193, 18, 17, 22, -9.62, 10.09, 2.64
14194, 19, 17, 22, -8.47, 9.87, 0.68
14195, 20, 17, 22, -7.59, 9.57, -0.78
14196, 21, 17, 22, -7.05, 9.43, -1.13
14197, 22, 17, 22, -6.81, 9.52, -0.59
14198, 23, 17, 22, -6.74, 9.65, -0.3
14199, 24, 17, 22, -6.74, 9.73, -0.21
14200, 0, 18, 22, -6.49, -9.59, -0.28
14201, 1, 18, 22, -6.49, -9.88, -0.41
14202, 2, 18, 22, -6.51, -9.96, -0.65
14203, 3, 18, 22, -6.63, -9.88, -1.04
14204, 4, 18, 22, -6.98, -9.81, -1.22
14205, 5, 18, 22, -7.71, -9.81, -0.49
14206, 6, 18, 22, -8.83, -9.82, 0.99
14207, 7, 18, 22, -10.21, -9.58, 2.67
14208, 8, 18, 22, -11.72, -8.88, 4.22
14209, 9, 18, 22, -13.2, -7.6, 5.48
14210, 10, 18, 22, -14.46, -5.7, 6.45
14211, 11, 18, 22, -15.32, -3.28, 7.1
14212, 12, 18, 22, -15.66, -0.59, 7.35
14213, 13, 18, 22, -15.44, 2.09, 7.17
14214, 14, 18, 22, -14.73, 4.45, 6.56
14215, 15, 18, 22, -13.66, 6.32, 5.55
14216, 16, 18, 22, -12.39, 7.61, 4.2
14217, 17, 18, 22, -11.09, 8.36, 2.59
14218, 18, 18, 22, -9.89, 8.68, 0.87
14219, 19, 18, 22, -8.9, 8.78, -0.57
14220, 20, 18, 22, -8.24, 8.88, -1.2
14221, 21, 18, 22, -7.89, 9.12, -0.83
14222, 22, 18, 22, -7.76, 9.42, -0.36
14223, 23, 18, 22, -7.71, 9.62, -0.21
14224, 24, 18, 22, -7.7, 9.72, -0.16
14225, 0, 19, 22, -7.42, -9.55, -0.25
14226, 1, 19, 22, -7.43, -9.83, -0.3
14227, 2, 19, 22, -7.45, -9.89, -0.4
14228, 3, 19, 22, -7.51, -9.73, -0.65
14229, 4, 19, 22, -7.69, -9.44, -1.05
14230, 5, 19, 22, -8.12, -9.13, -1.16
14231, 6, 19, 22, -8.9, -8.82, -0.48
14232, 7, 19, 22, -9.96, -8.4, 0.75
14233, 8, 19, 22, -11.18, -7.68, 2.08
14234, 9, 19, 22, -12.38, -6.53, 3.24
14235, 10, 19, 22, -13.41, -4.94, 4.11
14236, 11, 19, 22, -14.13, -2.97, 4.64
14237, 12, 19, 22, -14.43, -0.79, 4.83
14238, 13, 19, 22, -14.28, 1.4, 4.65
14239, 14, 19, 22, -13.74, 3.37, 4.08
14240, 15, 19, 22, -12.89, 4.99, 3.17
14241, 16, 19, 22, -11.87, 6.2, 1.97
14242, 17, 19, 22, -10.82, 7.02, 0.62
14243, 18, 19, 22, -9.9, 7.57, -0.58
14244, 19, 19, 22, -9.22, 8.01, -1.2
14245, 20, 19, 22, -8.83, 8.48, -0.98
14246, 21, 19, 22, -8.64, 8.96, -0.47
14247, 22, 19, 22, -8.56, 9.35, -0.23
14248, 23, 19, 22, -8.51, 9.59, -0.16
14249, 24, 19, 22, -8.48, 9.7, -0.12
14250, 0, 20, 22, -8.21, -9.5, -0.24
14251, 1, 20, 22, -8.22, -9.78, -0.25
14252, 2, 20, 22, -8.25, -9.82, -0.28
14253, 3, 20, 22, -8.29, -9.63, -0.36
14254, 4, 20, 22, -8.37, -9.25, -0.6
14255, 5, 20, 22, -8.57, -8.72, -0.99
14256, 6, 20, 22, -8.98, -8.15, -1.15
14257, 7, 20, 22, -9.65, -7.52, -0.71
14258, 8, 20, 22, -10.51, -6.74, 0.1
14259, 9, 20, 22, -11.41, -5.69, 1.01
14260, 10, 20, 22, -12.2, -4.33, 1.75
14261, 11, 20, 22, -12.75, -2.7, 2.22
14262, 12, 20, 22, -13, -0.91, 2.36
14263, 13, 20, 22, -12.92, 0.88, 2.18
14264, 14, 20, 22, -12.53, 2.55, 1.67
14265, 15, 20, 22, -11.91, 3.99, 0.9
14266, 16, 20, 22, -11.18, 5.15, -0.01
14267, 17, 20, 22, -10.47, 6.08, -0.82
14268, 18, 20, 22, -9.91, 6.87, -1.22
14269, 19, 20, 22, -9.54, 7.6, -1.01
14270, 20, 20, 22, -9.35, 8.29, -0.56
14271, 21, 20, 22, -9.25, 8.87, -0.27
14272, 22, 20, 22, -9.17, 9.3, -0.18
14273, 23, 20, 22, -9.12, 9.55, -0.12
14274, 24, 20, 22, -9.07, 9.66, -0.1
14275, 0, 21, 22, -8.84, -9.45, -0.23
14276, 1, 21, 22, -8.86, -9.72, -0.22
14277, 2, 21, 22, -8.88, -9.75, -0.23
14278, 3, 21, 22, -8.91, -9.55, -0.24
14279, 4, 21, 22, -8.96, -9.15, -0.29
14280, 5, 21, 22, -9.05, -8.54, -0.48
14281, 6, 21, 22, -9.21, -7.8, -0.82
14282, 7, 21, 22, -9.52, -6.99, -1.08
14283, 8, 21, 22, -10, -6.09, -1
14284, 9, 21, 22, -10.56, -5.06, -0.66
14285, 10, 21, 22, -11.09, -3.85, -0.26
14286, 11, 21, 22, -11.49, -2.46, 0.06
14287, 12, 21, 22, -11.68, -0.96, 0.16
14288, 13, 21, 22, -11.65, 0.56, 0.03
14289, 14, 21, 22, -11.41, 2.02, -0.31
14290, 15, 21, 22, -11.04, 3.35, -0.75
14291, 16, 21, 22, -10.63, 4.53, -1.12
14292, 17, 21, 22, -10.26, 5.58, -1.2
14293, 18, 21, 22, -9.99, 6.55, -0.97
14294, 19, 21, 22, -9.83, 7.43, -0.59
14295, 20, 21, 22, -9.72, 8.2, -0.32
14296, 21, 21, 22, -9.64, 8.81, -0.2
14297, 22, 21, 22, -9.57, 9.25, -0.15
14298, 23, 21, 22, -9.5, 9.51, -0.11
14299, 24, 21, 22, -9.44, 9.61, -0.1
14300, 0, 22, 22, -9.3, -9.4, -0.24
14301, 1, 22, 22, -9.32, -9.66, -0.2
14302, 2, 22, 22, -9.34, -9.69, -0.18
14303, 3, 22, 22, -9.37, -9.49, -0.18
14304, 4, 22, 22, -9.4, -9.08, -0.2
14305, 5, 22, 22, -9.44, -8.46, -0.23
14306, 6, 22, 22, -9.51, -7.67, -0.35
14307, 7, 22, 22, -9.62, -6.75, -0.56
14308, 8, 22, 22, -9.81, -5.75, -0.82
14309, 9, 22, 22, -10.07, -4.68, -1
14310, 10, 22, 22, -10.35, -3.52, -1.08
14311, 11, 22, 22, -10.59, -2.26, -1.09
14312, 12, 22, 22, -10.72, -0.93, -1.09
14313, 13, 22, 22, -10.73, 0.43, -1.12
14314, 14, 22, 22, -10.65, 1.78, -1.17
14315, 15, 22, 22, -10.49, 3.06, -1.19
14316, 16, 22, 22, -10.32, 4.27, -1.1
14317, 17, 22, 22, -10.18, 5.4, -0.86
14318, 18, 22, 22, -10.07, 6.44, -0.57
14319, 19, 22, 22, -9.98, 7.37, -0.34
14320, 20, 22, 22, -9.9, 8.14, -0.23
14321, 21, 22, 22, -9.83, 8.76, -0.18
14322, 22, 22, 22, -9.76, 9.2, -0.13
14323, 23, 22, 22, -9.69, 9.46, -0.11
14324, 24, 22, 22, -9.62, 9.56, -0.11
14325, 0, 23, 22, -9.57, -9.35, -0.26
14326, 1, 23, 22, -9.6, -9.6, -0.2
14327, 2, 23, 22, -9.62, -9.63, -0.16
14328, 3, 23, 22, -9.64, -9.43, -0.14
14329, 4, 23, 22, -9.66, -9.04, -0.14
14330, 5, 23, 22, -9.69, -8.43, -0.16
14331, 6, 23, 22, -9.72, -7.63, -0.2
14332, 7, 23, 22, -9.76, -6.68, -0.27
14333, 8, 23, 22, -9.82, -5.62, -0.38
14334, 9, 23, 22, -9.91, -4.5, -0.5
14335, 10, 23, 22, -10.01, -3.33, -0.64
14336, 11, 23, 22, -10.12, -2.11, -0.78
14337, 12, 23, 22, -10.2, -0.85, -0.88
14338, 13, 23, 22, -10.22, 0.43, -0.94
14339, 14, 23, 22, -10.2, 1.72, -0.93
14340, 15, 23, 22, -10.15, 2.99, -0.85
14341, 16, 23, 22, -10.09, 4.21, -0.69
14342, 17, 23, 22, -10.03, 5.36, -0.5
14343, 18, 23, 22, -9.97, 6.42, -0.34
14344, 19, 23, 22, -9.91, 7.34, -0.24
14345, 20, 23, 22, -9.85, 8.11, -0.19
14346, 21, 23, 22, -9.79, 8.72, -0.16
14347, 22, 23, 22, -9.73, 9.17, -0.14
14348, 23, 23, 22, -9.66, 9.43, -0.13
14349, 24, 23, 22, -9.59, 9.53, -0.14
14350, 0, 24, 22, -9.69, -9.31, -0.27
14351, 1, 24, 22, -9.71, -9.55, -0.21
14352, 2, 24, 22, -9.73, -9.58, -0.16
14353, 3, 24, 22, -9.75, -9.38, -0.13
14354, 4, 24, 22, -9.78, -9, -0.12
14355, 5, 24, 22, -9.8, -8.4, -0.13
14356, 6, 24, 22, -9.82, -7.61, -0.15
14357, 7, 24, 22, -9.84, -6.66, -0.19
14358, 8, 24, 22, -9.85, -5.6, -0.23
14359, 9, 24, 22, -9.86, -4.45, -0.27
14360, 10, 24, 22, -9.86, -3.26, -0.32
14361, 11, 24, 22, -9.86, -2.04, -0.37
14362, 12, 24, 22, -9.85, -0.81, -0.42
14363, 13, 24, 22, -9.83, 0.45, -0.48
14364, 14, 24, 22, -9.81, 1.72, -0.49
14365, 15, 24, 22, -9.78, 2.98, -0.45
14366, 16, 24, 22, -9.75, 4.2, -0.37
14367, 17, 24, 22, -9.7, 5.35, -0.28
14368, 18, 24, 22, -9.66, 6.4, -0.22
14369, 19, 24, 22, -9.61, 7.32, -0.18
14370, 20, 24, 22, -9.57, 8.09, -0.17
14371, 21, 24, 22, -9.52, 8.71, -0.16
14372, 22, 24, 22, -9.47, 9.15, -0.17
14373, 23, 24, 22, -9.42, 9.41, -0.18
14374, 24, 24, 22, -9.36, 9.52, -0.19
14375, 0, 0, 23, 9.04, -9.16, -0.22
14376, 1, 0, 23, 9.1, -9.05, -0.21
14377, 2, 0, 23, 9.15, -8.8, -0.2
14378, 3, 0, 23, 9.19, -8.38, -0.2
14379, 4, 0, 23, 9.24, -7.8, -0.2
14380, 5, 0, 23, 9.28, -7.06, -0.21
14381, 6, 0, 23, 9.32, -6.18, -0.24
14382, 7, 0, 23, 9.36, -5.17, -0.31
14383, 8, 0, 23, 9.4, -4.05, -0.39
14384, 9, 0, 23, 9.43, -2.85, -0.47
14385, 10, 0, 23, 9.45, -1.62, -0.5
14386, 11, 0, 23, 9.45, -0.38, -0.46
14387, 12, 0, 23, 9.45, 0.85, -0.4
14388, 13, 0, 23, 9.44, 2.06, -0.33
14389, 14, 0, 23, 9.43, 3.25, -0.28
14390, 15, 0, 23, 9.42, 4.41, -0.22
14391, 16, 0, 23, 9.41, 5.52, -0.18
14392, 17, 0, 23, 9.4, 6.54, -0.14
14393, 18, 0, 23, 9.39, 7.44, -0.12
14394, 19, 0, 23, 9.37, 8.17, -0.11
14395, 20, 0, 23, 9.35, 8.71, -0.12
14396, 21, 0, 23, 9.34, 9.05, -0.15
14397, 22, 0, 23, 9.33, 9.21, -0.19
14398, 23, 0, 23, 9.32, 9.19, -0.24
14399, 24, 0, 23, 9.31, 8.97, -0.29
14400, 0, 1, 23, 9.25, -9.15, -0.17
14401, 1, 1, 23, 9.32, -9.05, -0.17
14402, 2, 1, 23, 9.38, -8.8, -0.18
14403, 3, 1, 23, 9.45, -8.38, -0.2
14404, 4, 1, 23, 9.51, -7.8, -0.23
14405, 5, 1, 23, 9.57, -7.07, -0.28
14406, 6, 1, 23, 9.62, -6.19, -0.38
14407, 7, 1, 23, 9.68, -5.17, -0.55
14408, 8, 1, 23, 9.74, -4.05, -0.75
14409, 9, 1, 23, 9.79, -2.87, -0.9
14410, 10, 1, 23, 9.82, -1.63, -0.96
14411, 11, 1, 23, 9.83, -0.37, -0.95
14412, 12, 1, 23, 9.79, 0.88, -0.87
14413, 13, 1, 23, 9.7, 2.11, -0.74
14414, 14, 1, 23, 9.58, 3.3, -0.59
14415, 15, 1, 23, 9.47, 4.45, -0.45
14416, 16, 1, 23, 9.39, 5.54, -0.32
14417, 17, 1, 23, 9.33, 6.56, -0.23
14418, 18, 1, 23, 9.29, 7.46, -0.17
14419, 19, 1, 23, 9.27, 8.2, -0.14
14420, 20, 1, 23, 9.25, 8.76, -0.14
14421, 21, 1, 23, 9.23, 9.11, -0.16
14422, 22, 1, 23, 9.22, 9.28, -0.19
14423, 23, 1, 23, 9.21, 9.24, -0.23
14424, 24, 1, 23, 9.19, 9.01, -0.28
14425, 0, 2, 23, 9.28, -9.17, -0.14
14426, 1, 2, 23, 9.35, -9.07, -0.14
14427, 2, 2, 23, 9.43, -8.82, -0.16
14428, 3, 2, 23, 9.5, -8.4, -0.21
14429, 4, 2, 23, 9.58, -7.83, -0.27
14430, 5, 2, 23, 9.66, -7.09, -0.38
14431, 6, 2, 23, 9.75, -6.2, -0.62
14432, 7, 2, 23, 9.86, -5.2, -0.92
14433, 8, 2, 23, 10, -4.1, -1.15
14434, 9, 2, 23, 10.16, -2.94, -1.22
14435, 10, 2, 23, 10.3, -1.69, -1.18
14436, 11, 2, 23, 10.37, -0.4, -1.09
14437, 12, 2, 23, 10.33, 0.92, -1.04
14438, 13, 2, 23, 10.18, 2.22, -1.02
14439, 14, 2, 23, 9.93, 3.45, -1
14440, 15, 2, 23, 9.65, 4.6, -0.92
14441, 16, 2, 23, 9.39, 5.65, -0.74
14442, 17, 2, 23, 9.21, 6.63, -0.51
14443, 18, 2, 23, 9.1, 7.51, -0.31
14444, 19, 2, 23, 9.04, 8.26, -0.22
14445, 20, 2, 23, 9, 8.82, -0.19
14446, 21, 2, 23, 8.97, 9.17, -0.2
14447, 22, 2, 23, 8.96, 9.34, -0.21
14448, 23, 2, 23, 8.94, 9.3, -0.23
14449, 24, 2, 23, 8.93, 9.06, -0.27
14450, 0, 3, 23, 9.12, -9.19, -0.11
14451, 1, 3, 23, 9.19, -9.1, -0.13
14452, 2, 3, 23, 9.27, -8.85, -0.17
14453, 3, 3, 23, 9.35, -8.44, -0.22
14454, 4, 3, 23, 9.44, -7.87, -0.34
14455, 5, 3, 23, 9.55, -7.14, -0.62
14456, 6, 3, 23, 9.72, -6.3, -1
14457, 7, 3, 23, 9.99, -5.37, -1.2
14458, 8, 3, 23, 10.36, -4.37, -1.06
14459, 9, 3, 23, 10.77, -3.24, -0.65
14460, 10, 3, 23, 11.13, -1.96, -0.17
14461, 11, 3, 23, 11.35, -0.55, 0.2
14462, 12, 3, 23, 11.36, 0.93, 0.34
14463, 13, 3, 23, 11.15, 2.39, 0.24
14464, 14, 3, 23, 10.73, 3.75, -0.08
14465, 15, 3, 23, 10.18, 4.94, -0.5
14466, 16, 3, 23, 9.61, 5.96, -0.86
14467, 17, 3, 23, 9.13, 6.84, -0.98
14468, 18, 3, 23, 8.82, 7.64, -0.77
14469, 19, 3, 23, 8.66, 8.34, -0.46
14470, 20, 3, 23, 8.59, 8.9, -0.29
14471, 21, 3, 23, 8.55, 9.25, -0.25
14472, 22, 3, 23, 8.52, 9.41, -0.25
14473, 23, 3, 23, 8.5, 9.36, -0.25
14474, 24, 3, 23, 8.5, 9.11, -0.26
14475, 0, 4, 23, 8.78, -9.23, -0.1
14476, 1, 4, 23, 8.85, -9.13, -0.12
14477, 2, 4, 23, 8.92, -8.9, -0.18
14478, 3, 4, 23, 9, -8.5, -0.28
14479, 4, 4, 23, 9.11, -7.95, -0.57
14480, 5, 4, 23, 9.31, -7.3, -1
14481, 6, 4, 23, 9.68, -6.63, -1.15
14482, 7, 4, 23, 10.24, -5.9, -0.68
14483, 8, 4, 23, 10.94, -5.03, 0.21
14484, 9, 4, 23, 11.66, -3.91, 1.17
14485, 10, 4, 23, 12.26, -2.52, 1.97
14486, 11, 4, 23, 12.64, -0.89, 2.49
14487, 12, 4, 23, 12.72, 0.86, 2.68
14488, 13, 4, 23, 12.46, 2.6, 2.53
14489, 14, 4, 23, 11.89, 4.19, 2.05
14490, 15, 4, 23, 11.09, 5.52, 1.28
14491, 16, 4, 23, 10.18, 6.56, 0.34
14492, 17, 4, 23, 9.31, 7.34, -0.52
14493, 18, 4, 23, 8.63, 7.97, -1.04
14494, 19, 4, 23, 8.21, 8.52, -0.94
14495, 20, 4, 23, 8.03, 9, -0.6
14496, 21, 4, 23, 7.95, 9.34, -0.38
14497, 22, 4, 23, 7.92, 9.49, -0.31
14498, 23, 4, 23, 7.9, 9.42, -0.28
14499, 24, 4, 23, 7.9, 9.15, -0.26
14500, 0, 5, 23, 8.25, -9.25, -0.11
14501, 1, 5, 23, 8.3, -9.16, -0.14
14502, 2, 5, 23, 8.36, -8.95, -0.22
14503, 3, 5, 23, 8.45, -8.58, -0.46
14504, 4, 5, 23, 8.63, -8.14, -0.94
14505, 5, 5, 23, 9.02, -7.73, -1.09
14506, 6, 5, 23, 9.69, -7.36, -0.38
14507, 7, 5, 23, 10.59, -6.87, 0.91
14508, 8, 5, 23, 11.61, -6.1, 2.32
14509, 9, 5, 23, 12.61, -4.93, 3.57
14510, 10, 5, 23, 13.44, -3.34, 4.51
14511, 11, 5, 23, 13.97, -1.41, 5.08
14512, 12, 5, 23, 14.11, 0.72, 5.27
14513, 13, 5, 23, 13.82, 2.85, 5.07
14514, 14, 5, 23, 13.12, 4.77, 4.51
14515, 15, 5, 23, 12.11, 6.34, 3.62
14516, 16, 5, 23, 10.91, 7.46, 2.41
14517, 17, 5, 23, 9.68, 8.18, 1.03
14518, 18, 5, 23, 8.6, 8.61, -0.27
14519, 19, 5, 23, 7.81, 8.91, -1.06
14520, 20, 5, 23, 7.38, 9.2, -1.03
14521, 21, 5, 23, 7.21, 9.44, -0.67
14522, 22, 5, 23, 7.16, 9.56, -0.43
14523, 23, 5, 23, 7.15, 9.47, -0.33
14524, 24, 5, 23, 7.15, 9.19, -0.26
14525, 0, 6, 23, 7.52, -9.27, -0.13
14526, 1, 6, 23, 7.55, -9.19, -0.18
14527, 2, 6, 23, 7.6, -9, -0.32
14528, 3, 6, 23, 7.73, -8.74, -0.78
14529, 4, 6, 23, 8.06, -8.56, -1.08
14530, 5, 6, 23, 8.7, -8.53, -0.34
14531, 6, 6, 23, 9.66, -8.5, 1.2
14532, 7, 6, 23, 10.83, -8.23, 2.99
14533, 8, 6, 23, 12.1, -7.52, 4.66
14534, 9, 6, 23, 13.34, -6.26, 6.04
14535, 10, 6, 23, 14.38, -4.42, 7.07
14536, 11, 6, 23, 15.08, -2.09, 7.69
14537, 12, 6, 23, 15.29, 0.52, 7.86
14538, 13, 6, 23, 14.97, 3.15, 7.6
14539, 14, 6, 23, 14.15, 5.49, 6.94
14540, 15, 6, 23, 12.93, 7.35, 5.95
14541, 16, 6, 23, 11.48, 8.62, 4.64
14542, 17, 6, 23, 9.98, 9.32, 3.04
14543, 18, 6, 23, 8.59, 9.57, 1.28
14544, 19, 6, 23, 7.46, 9.58, -0.29
14545, 20, 6, 23, 6.72, 9.56, -1.14
14546, 21, 6, 23, 6.36, 9.59, -1.05
14547, 22, 6, 23, 6.26, 9.63, -0.69
14548, 23, 6, 23, 6.24, 9.52, -0.44
14549, 24, 6, 23, 6.25, 9.22, -0.3
14550, 0, 7, 23, 6.61, -9.27, -0.17
14551, 1, 7, 23, 6.62, -9.21, -0.25
14552, 2, 7, 23, 6.69, -9.1, -0.54
14553, 3, 7, 23, 6.9, -9.05, -1.02
14554, 4, 7, 23, 7.41, -9.26, -0.57
14555, 5, 7, 23, 8.25, -9.64, 1
14556, 6, 7, 23, 9.37, -9.92, 3.06
14557, 7, 7, 23, 10.69, -9.84, 5.09
14558, 8, 7, 23, 12.13, -9.18, 6.88
14559, 9, 7, 23, 13.55, -7.82, 8.37
14560, 10, 7, 23, 14.78, -5.68, 9.51
14561, 11, 7, 23, 15.63, -2.9, 10.21
14562, 12, 7, 23, 15.93, 0.29, 10.42
14563, 13, 7, 23, 15.61, 3.5, 10.11
14564, 14, 7, 23, 14.68, 6.36, 9.31
14565, 15, 7, 23, 13.29, 8.56, 8.15
14566, 16, 7, 23, 11.65, 9.99, 6.71
14567, 17, 7, 23, 9.95, 10.67, 5.01
14568, 18, 7, 23, 8.36, 10.76, 3.06
14569, 19, 7, 23, 7.01, 10.49, 1.04
14570, 20, 7, 23, 6.01, 10.12, -0.6
14571, 21, 7, 23, 5.45, 9.85, -1.22
14572, 22, 7, 23, 5.24, 9.72, -0.99
14573, 23, 7, 23, 5.21, 9.55, -0.63
14574, 24, 7, 23, 5.22, 9.25, -0.38
14575, 0, 8, 23, 5.56, -9.27, -0.22
14576, 1, 8, 23, 5.57, -9.26, -0.36
14577, 2, 8, 23, 5.68, -9.28, -0.79
14578, 3, 8, 23, 5.98, -9.54, -0.9
14579, 4, 8, 23, 6.58, -10.16, 0.35
14580, 5, 8, 23, 7.47, -10.9, 2.48
14581, 6, 8, 23, 8.62, -11.45, 4.79
14582, 7, 8, 23, 9.96, -11.56, 6.92
14583, 8, 8, 23, 11.45, -10.97, 8.83
14584, 9, 8, 23, 12.95, -9.5, 10.48
14585, 10, 8, 23, 14.28, -7.06, 11.75
14586, 11, 8, 23, 15.23, -3.76, 12.54
14587, 12, 8, 23, 15.6, 0.06, 12.79
14588, 13, 8, 23, 15.3, 3.93, 12.47
14589, 14, 8, 23, 14.34, 7.34, 11.58
14590, 15, 8, 23, 12.89, 9.91, 10.23
14591, 16, 8, 23, 11.15, 11.49, 8.58
14592, 17, 8, 23, 9.37, 12.14, 6.76
14593, 18, 8, 23, 7.7, 12.06, 4.71
14594, 19, 8, 23, 6.28, 11.53, 2.48
14595, 20, 8, 23, 5.17, 10.83, 0.36
14596, 21, 8, 23, 4.46, 10.22, -1.02
14597, 22, 8, 23, 4.15, 9.84, -1.21
14598, 23, 8, 23, 4.09, 9.59, -0.84
14599, 24, 8, 23, 4.09, 9.28, -0.47
14600, 0, 9, 23, 4.43, -9.28, -0.27
14601, 1, 9, 23, 4.45, -9.34, -0.5
14602, 2, 9, 23, 4.58, -9.54, -0.96
14603, 3, 9, 23, 4.91, -10.13, -0.48
14604, 4, 9, 23, 5.49, -11.1, 1.38
14605, 5, 9, 23, 6.28, -12.13, 3.8
14606, 6, 9, 23, 7.29, -12.92, 6.19
14607, 7, 9, 23, 8.5, -13.21, 8.41
14608, 8, 9, 23, 9.86, -12.7, 10.47
14609, 9, 9, 23, 11.27, -11.13, 12.27
14610, 10, 9, 23, 12.54, -8.38, 13.62
14611, 11, 9, 23, 13.47, -4.59, 14.41
14612, 12, 9, 23, 13.87, -0.11, 14.67
14613, 13, 9, 23, 13.61, 4.42, 14.39
14614, 14, 9, 23, 12.72, 8.37, 13.52
14615, 15, 9, 23, 11.36, 11.29, 12.07
14616, 16, 9, 23, 9.73, 12.99, 10.23
