length,steps,threads,seconds,nanoseconds
350000,90,16,0,2160677
350000,90,32,0,7511306
350000,100,2,0,15024528
350000,100,4,0,7533709
350000,100,8,0,4059894
350000,100,16,0,2390454
350000,100,32,0,8257102
400000,10,2,0,1955414
400000,10,4,0,956421
400000,10,8,0,550144
400000,10,16,0,376945
400000,10,32,0,1238340
400000,20,2,0,3708398
400000,20,4,0,1828310
400000,20,8,0,1015287
400000,20,16,0,633382
400000,20,32,0,1943909
400000,30,2,0,5291865
400000,30,4,0,2683656
400000,30,8,0,1481049
400000,30,16,0,907977
400000,30,32,0,2730960
400000,40,2,0,7067770
400000,40,4,0,3568523
400000,40,8,0,1954306
400000,40,16,0,1150677
400000,40,32,0,3756884
400000,50,2,0,8842947
400000,50,4,0,4465618
400000,50,8,0,2409180
400000,50,16,0,1437818
400000,50,32,0,4727059
400000,60,2,0,10066482
400000,60,4,0,5385516
400000,60,8,0,2857053
400000,60,16,0,1694636
400000,60,32,0,5354256
400000,70,2,0,11890055
400000,70,4,0,6365398
400000,70,8,0,3331378
400000,70,16,0,1956828
400000,70,32,0,6316169
400000,80,2,0,13903353
400000,80,4,0,7014768
400000,80,8,0,3779085
400000,80,16,0,2206632
400000,80,32,0,6775148
400000,90,2,0,15439239
400000,90,4,0,7878101
400000,90,8,0,4247862
400000,90,16,0,2492859
400000,90,32,0,7603724
400000,100,2,0,17367682
400000,100,4,0,8760129
400000,100,8,0,4707560
400000,100,16,0,2747009
400000,100,32,0,8567442
450000,10,2,0,2059364
450000,10,4,0,1071569
450000,10,8,0,617477
450000,10,16,0,404500
450000,10,32,0,1198529
450000,20,2,0,4086919
450000,20,4,0,2045614
450000,20,8,0,1121754
450000,20,16,0,697622
450000,20,32,0,1952124
450000,30,2,0,6136112
450000,30,4,0,3035409
450000,30,8,0,1647401
450000,30,16,0,994057
450000,30,32,0,3142131
450000,40,2,0,7689643
450000,40,4,0,4234433
450000,40,8,0,2165180
450000,40,16,0,1297912
450000,40,32,0,3993914
450000,50,2,0,9765854
450000,50,4,0,4978210
450000,50,8,0,2648713
450000,50,16,0,1546097
450000,50,32,0,4586898
450000,60,2,0,11605146
450000,60,4,0,5887828
450000,60,8,0,3163204
450000,60,16,0,1845548
450000,60,32,0,5477504
450000,70,2,0,13669374
450000,70,4,0,6921348
450000,70,8,0,3698545
450000,70,16,0,2155834
450000,70,32,0,6385889
450000,80,2,0,15340173
450000,80,4,0,7810227
450000,80,8,0,4185155
450000,80,16,0,2421483
450000,80,32,0,7330393
450000,90,2,0,17160712
450000,90,4,0,8775760
450000,90,8,0,4693554
450000,90,16,0,2711603
450000,90,32,0,8058186
450000,100,2,0,19558063
450000,100,4,0,9887840
450000,100,8,0,5258629
450000,100,16,0,3039267
450000,100,32,0,8671797
500000,10,2,0,2261683
500000,10,4,0,1165564
500000,10,8,0,666016
500000,10,16,0,431611
500000,10,32,0,1232572
500000,20,2,0,4444021
500000,20,4,0,2232152
500000,20,8,0,1213642
500000,20,16,0,740464
500000,20,32,0,2047392
500000,30,2,0,6523826
500000,30,4,0,3324228
500000,30,8,0,1792940
500000,30,16,0,1060138
500000,30,32,0,2936250
500000,40,2,0,8542352
500000,40,4,0,4387715
500000,40,8,0,2324641
500000,40,16,0,1391927
500000,40,32,0,3691370
500000,50,2,0,10790879
500000,50,4,0,5354323
500000,50,8,0,2873239
500000,50,16,0,1708508
500000,50,32,0,4622955
500000,60,2,0,12820770
500000,60,4,0,6455690
500000,60,8,0,3399561
500000,60,16,0,2017859
500000,60,32,0,5547315
500000,70,2,0,14830564
500000,70,4,0,7487161
500000,70,8,0,4016102
500000,70,16,0,2338209
500000,70,32,0,6529759
500000,80,2,0,16788759
500000,80,4,0,8616198
500000,80,8,0,4575612
500000,80,16,0,2631738
500000,80,32,0,7311781
500000,90,2,0,18774567
500000,90,4,0,9655471
500000,90,8,0,5166357
500000,90,16,0,2926344
500000,90,32,0,7979502
500000,100,2,0,21028923
500000,100,4,0,10816032
500000,100,8,0,5701173
500000,100,16,0,3294021
500000,100,32,0,9129226
