length,steps,threads,seconds,nanoseconds
400000,60,8,0,10674796
400000,60,16,0,20864751
400000,60,32,0,35547662
400000,70,2,0,14792441
400000,70,4,0,10050195
400000,70,8,0,12543089
400000,70,16,0,25772192
400000,70,32,0,43351197
400000,80,2,0,16700516
400000,80,4,0,11520191
400000,80,8,0,13950374
400000,80,16,0,28419400
400000,80,32,0,48276338
400000,90,2,0,18721328
400000,90,4,0,12900004
400000,90,8,0,15109620
400000,90,16,0,33944014
400000,90,32,0,52506451
400000,100,2,0,32949314
400000,100,4,0,14523464
400000,100,8,0,15348699
400000,100,16,0,37138369
400000,100,32,0,58892639
450000,10,2,0,3304508
450000,10,4,0,2722116
450000,10,8,0,3873438
450000,10,16,0,5808322
450000,10,32,0,5688006
450000,20,2,0,6022776
450000,20,4,0,4659825
450000,20,8,0,6499401
450000,20,16,0,9319835
450000,20,32,0,10780877
450000,30,2,0,8419679
450000,30,4,0,6999290
450000,30,8,0,8375507
450000,30,16,0,13363331
450000,30,32,0,19560926
450000,40,2,0,11318030
450000,40,4,0,9176517
450000,40,8,0,10955975
450000,40,16,0,15186973
450000,40,32,0,21342279
450000,50,2,0,13630845
450000,50,4,0,11415796
450000,50,8,0,12461186
450000,50,16,0,20848155
450000,50,32,0,29392888
450000,60,2,0,16016325
450000,60,4,0,13610988
450000,60,8,0,15566277
450000,60,16,0,25166160
450000,60,32,0,39826637
450000,70,2,0,18540044
450000,70,4,0,15844271
450000,70,8,0,17348164
450000,70,16,0,30271918
450000,70,32,0,41948769
450000,80,2,0,20949181
450000,80,4,0,18170023
450000,80,8,0,20953204
450000,80,16,0,38512810
450000,80,32,0,56540072
450000,90,2,0,23823688
450000,90,4,0,20344999
450000,90,8,0,20515938
450000,90,16,0,42128433
450000,90,32,0,60901767
450000,100,2,0,26313392
450000,100,4,0,22554931
450000,100,8,0,22773853
450000,100,16,0,48254712
450000,100,32,0,67021866
500000,10,2,0,4033716
500000,10,4,0,3299066
500000,10,8,0,4020312
500000,10,16,0,6542409
500000,10,32,0,6204694
500000,20,2,0,7531487
500000,20,4,0,6507659
500000,20,8,0,8479112
