length,steps,threads,seconds,nanoseconds
60000,30,16,0,11412483
60000,30,32,0,6636944
60000,40,2,0,3103030
60000,40,4,0,4099395
60000,40,8,0,12703665
60000,40,16,0,14985655
60000,40,32,0,8535582
60000,50,2,0,3734545
60000,50,4,0,5260251
60000,50,8,0,13726422
60000,50,16,0,19238812
60000,50,32,0,10924796
60000,60,2,0,4497744
60000,60,4,0,6114953
60000,60,8,0,18621652
60000,60,16,0,23827038
60000,60,32,0,12145954
60000,70,2,0,5314690
60000,70,4,0,7479994
60000,70,8,0,21631871
60000,70,16,0,29245766
60000,70,32,0,14943507
60000,80,2,0,5971785
60000,80,4,0,8283435
60000,80,8,0,25057639
60000,80,16,0,32310198
60000,80,32,0,16793859
60000,90,2,0,6628887
60000,90,4,0,9315271
60000,90,8,0,27622822
60000,90,16,0,34737364
60000,90,32,0,19790887
60000,100,2,0,7438167
60000,100,4,0,10253384
60000,100,8,0,31448766
60000,100,16,0,39263352
60000,100,32,0,23398153
70000,10,2,0,1067279
70000,10,4,0,1160027
70000,10,8,0,3381795
70000,10,16,0,4465956
70000,10,32,0,2541354
70000,20,2,0,1938745
70000,20,4,0,2446936
70000,20,8,0,6493415
70000,20,16,0,7863881
70000,20,32,0,4894302
70000,30,2,0,2770692
70000,30,4,0,3644588
70000,30,8,0,10498439
70000,30,16,0,14094762
70000,30,32,0,7207405
70000,40,2,0,3670605
70000,40,4,0,4680866
70000,40,8,0,13137498
70000,40,16,0,16776699
70000,40,32,0,9320750
70000,50,2,0,4266651
70000,50,4,0,5603222
70000,50,8,0,15386005
70000,50,16,0,20348667
70000,50,32,0,12257848
70000,60,2,0,5129983
70000,60,4,0,6749413
70000,60,8,0,17614927
70000,60,16,0,25159908
70000,60,32,0,15229963
70000,70,2,0,6108190
70000,70,4,0,8192479
70000,70,8,0,23861352
70000,70,16,0,30728001
70000,70,32,0,17600615
70000,80,2,0,7011514
70000,80,4,0,8581908
70000,80,8,0,28849763
70000,80,16,0,32482606
70000,80,32,0,18555109
70000,90,2,0,7666158
70000,90,4,0,10182128
70000,90,8,0,31132481
70000,90,16,0,38480203
70000,90,32,0,22296090
70000,100,2,0,8427476
70000,100,4,0,11627531
70000,100,8,0,31236363
70000,100,16,0,43060481
70000,100,32,0,23547109
80000,10,2,0,1062731
80000,10,4,0,1278633
80000,10,8,0,3431324
80000,10,16,0,4945342
80000,10,32,0,2753731
80000,20,2,0,2100578
80000,20,4,0,2548783
80000,20,8,0,6959758
80000,20,16,0,9896569
80000,20,32,0,5367146
80000,30,2,0,3033905
80000,30,4,0,4056382
80000,30,8,0,12819810
80000,30,16,0,14415961
80000,30,32,0,8476587
80000,40,2,0,3748767
80000,40,4,0,5091868
80000,40,8,0,15845568
80000,40,16,0,19345219
80000,40,32,0,10804007
80000,50,2,0,4649227
80000,50,4,0,6288038
80000,50,8,0,16469025
80000,50,16,0,23785106
80000,50,32,0,13186558
80000,60,2,0,5885060
80000,60,4,0,7485791
80000,60,8,0,20182956
80000,60,16,0,28829407
80000,60,32,0,15726811
80000,70,2,0,6978889
80000,70,4,0,9046190
80000,70,8,0,25273305
80000,70,16,0,32356571
80000,70,32,0,17070750
80000,80,2,0,7817503
80000,80,4,0,10889764
80000,80,8,0,28525336
80000,80,16,0,38644994
80000,80,32,0,20481565
80000,90,2,0,8816851
80000,90,4,0,11252888
80000,90,8,0,31985089
80000,90,16,0,42542658
80000,90,32,0,25085039
80000,100,2,0,9070831
80000,100,4,0,12883854
80000,100,8,0,37222893
80000,100,16,0,49424832
80000,100,32,0,27549192
90000,10,2,0,1076754
90000,10,4,0,1321229
90000,10,8,0,4313007
90000,10,16,0,5303095
90000,10,32,0,2941833
90000,20,2,0,2091468
90000,20,4,0,2724881
90000,20,8,0,6926012
90000,20,16,0,9625261
90000,20,32,0,6094550
90000,30,2,0,3104093
90000,30,4,0,4524353
90000,30,8,0,11180443
90000,30,16,0,15755684
90000,30,32,0,8565315
90000,40,2,0,4231943
90000,40,4,0,5577347
90000,40,8,0,14718365
90000,40,16,0,19675579
90000,40,32,0,11100263
90000,50,2,0,5185157
90000,50,4,0,7123170
90000,50,8,0,18524347
90000,50,16,0,25118483
90000,50,32,0,14411042
90000,60,2,0,6108636
90000,60,4,0,8159735
90000,60,8,0,20612279
90000,60,16,0,31789113
90000,60,32,0,16582622
90000,70,2,0,7248957
90000,70,4,0,9702788
90000,70,8,0,27855291
90000,70,16,0,33121613
90000,70,32,0,20601581
90000,80,2,0,8177333
90000,80,4,0,11485870
90000,80,8,0,28002961
90000,80,16,0,37873121
90000,80,32,0,22107348
90000,90,2,0,9187659
90000,90,4,0,12235111
90000,90,8,0,33047494
90000,90,16,0,44082863
90000,90,32,0,25615927
90000,100,2,0,10205859
90000,100,4,0,14137714
90000,100,8,0,37925719
90000,100,16,0,50414269
90000,100,32,0,27726595
100000,10,2,0,1186040
100000,10,4,0,1591876
100000,10,8,0,4100636
100000,10,16,0,5789864
100000,10,32,0,3404888
100000,20,2,0,2250754
100000,20,4,0,3157952
100000,20,8,0,10460842
100000,20,16,0,10670322
100000,20,32,0,6125243
100000,30,2,0,3382515
100000,30,4,0,4643575
100000,30,8,0,12461317
100000,30,16,0,16984129
100000,30,32,0,7836019
100000,40,2,0,4487251
